EVT_Code,N,Weibull_Lambda_Scale,Weibull_Kappa_Shape,Weibull_R2,Weibull_RMSE,CLASSNAME
3047,263709.0,0.7192,5.697763,0.97147,0.067814,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest
3048,1246.0,0.819185,6.503533,0.946006,0.066203,Northwestern Great Plains Highland White Spruce Woodland
3049,139558.0,0.673394,6.847845,0.994052,0.032276,Rocky Mountain Foothill Limber Pine-Juniper Woodland
3050,1586425.0,0.800137,6.22125,0.99116,0.032422,Rocky Mountain Lodgepole Pine Forest
3051,21529.0,0.7367451442098494,7.742364910801623,0.9510675833035818,0.032019377068651184,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
3052,2859.0,0.8131554885810905,8.269007819254488,0.9685581810861097,0.03722571607379571,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
3053,1672541.0,0.684154,6.759456,0.985495,0.052019,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna
3054,5312115.0,0.652131,7.095453,0.98837,0.047432,Southern Rocky Mountain Ponderosa Pine Woodland
3055,22895.0,0.7575171518397208,5.0557511815215355,0.858208025417861,0.06393389328181198,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
3056,2709801.0,0.79814,5.937163,0.988351,0.037029,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
3057,19341.0,0.690934,7.25091,0.985174,0.04419,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland
3058,26075.0,0.690592,6.133402,0.975569,0.061518,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland
3059,289780.0,0.631867,8.617233,0.982424,0.05927,Southern Rocky Mountain Pinyon-Juniper Woodland
3060,24923.0,0.616876,9.332206,0.992537,0.034526,East Cascades Ponderosa Pine Forest and Woodland
3061,58324.0,0.7884841325944391,5.826317685680697,0.9182700533024986,0.041562984039203964,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
3062,66271.0,0.7174683198181321,7.112119252171348,0.921633768402948,0.0380727935003123,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland
3063,4483.0,0.669763,8.055613,0.987232,0.039918,North Pacific Broadleaf Landslide Forest and Shrubland
3064,44903.0,0.636309,9.294118,0.981141,0.05788,Colorado Plateau Mixed Low Sagebrush Shrubland
3065,162151.0,0.633478,9.620666,0.981924,0.059117,Columbia Plateau Scabland Shrubland
3066,2945.0,0.558978,14.025179,0.889202,0.110002,Inter-Mountain Basins Mat Saltbush Shrubland
3068,181527.0,0.841242,9.105216,0.99862,0.013372,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow
3070,3861.0,0.647833,6.925736,0.972686,0.060507,Rocky Mountain Alpine Dwarf-Shrubland
3071,1716.0,0.637973,9.624375,0.963567,0.061952,Sierra Nevada Alpine Dwarf-Shrubland
3072,10637.0,0.608876,9.554256,0.970263,0.071264,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe
3074,83905.0,0.595276,12.689444,0.978466,0.059836,Chihuahuan Creosotebush Desert Scrub
3075,60372.0,0.603175,13.493303,0.991476,0.039601,Chihuahuan Mixed Salt Desert Scrub
3076,29619.0,0.568508,19.890487,0.96674,0.074808,Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub
3077,15284.0,0.601173,10.759144,0.945164,0.079358,Chihuahuan Succulent Desert Scrub
3078,6392.0,0.593225,22.948819,0.986773,0.044193,Colorado Plateau Blackbrush-Mormon-tea Shrubland
3079,403198.0,0.61760689255035,13.378674011094471,0.9422598402627329,0.032739502704461194,Great Basin Xeric Mixed Sagebrush Shrubland
3080,1578530.0,0.6268682652626678,14.414572734083013,0.9619705858894109,0.030398490198465924,Inter-Mountain Basins Big Sagebrush Shrubland
3081,142546.0,0.583356275416203,18.165261093562584,0.9481047946222664,0.03823717326874176,Inter-Mountain Basins Mixed Salt Desert Scrub
3082,308279.0,0.5966836822528354,18.16983811226884,0.964582935453622,0.02331195336870004,Mojave Mid-Elevation Mixed Desert Scrub
3083,21603.0,0.726307,7.633421,0.990937,0.036635,North Pacific Avalanche Chute Shrubland
3084,12597.0,0.67981,6.273912,0.985648,0.044925,North Pacific Montane Shrubland
3085,58009.0,0.640443,5.517478,0.99702,0.020911,Northwestern Great Plains Shrubland
3086,17018.0,0.7036514149143882,8.088396682821504,0.932110107468038,0.03582415205895439,Rocky Mountain Lower Montane-Foothill Shrubland
3087,9407.0,0.5852183863533682,17.7510782795765,0.9601325192425776,0.027436099502993538,Sonora-Mojave Creosotebush-White Bursage Desert Scrub
3088,12311.0,0.667174,11.21568,0.996113,0.023444,Sonora-Mojave Mixed Salt Desert Scrub
3090,30.0,0.550409,17.774182,0.732251,0.154165,Sonoran Granite Outcrop Desert Scrub
3091,63262.0,0.598849,16.470602,0.984683,0.05284,Sonoran Mid-Elevation Desert Scrub
3092,942014.0,0.650441,7.643113,0.994722,0.031507,Southern California Coastal Scrub
3093,6293.0,0.611408,9.942192,0.952984,0.081085,Southern Colorado Plateau Sand Shrubland
3094,34208.0,0.571949,16.430422,0.963307,0.075415,Western Great Plains Sandhill Shrubland
3095,485174.0,0.58827,12.43588,0.983652,0.05806,Apacherian-Chihuahuan Mesquite Upland Scrub
3096,3774.0,0.699011,8.150509,0.963449,0.06241,California Maritime Chaparral
3097,2027981.0,0.705764,7.955055,0.996657,0.024426,California Mesic Chaparral
3098,4215.0,0.7836783607125846,10.623436410536014,0.9929912389946172,0.018363095655955543,California Montane Woodland and Chaparral
3099,37126.0,0.673957,7.352289,0.991473,0.037351,California Xeric Serpentine Chaparral
3100,230653.0,0.593441,13.122897,0.981575,0.059141,Chihuahuan Mixed Desert and Thornscrub
3101,66521.0,0.61365,13.993376,0.992674,0.036448,Madrean Oriental Chaparral
3103,9358.0,0.612332152678254,11.36237789108387,0.8757991137024494,0.06401705437461817,Great Basin Semi-Desert Chaparral
3104,846163.0,0.640868,8.657786,0.992048,0.039261,Mogollon Chaparral
3105,412500.0,0.691721,7.821115,0.991225,0.039871,Northern and Central California Dry-Mesic Chaparral
3106,15008.0,0.7429981064581027,7.560457660940319,0.958127768986968,0.02208622753536343,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland
3107,95312.0,0.678304,7.090649,0.989242,0.043661,Rocky Mountain Gambel Oak-Mixed Montane Shrubland
3108,6434.0,0.6310245220730814,12.539979578449788,0.9610403910136427,0.02292871037080113,Sonora-Mojave Semi-Desert Chaparral
3109,741273.0,0.579543,12.059941,0.985166,0.054938,Sonoran Paloverde-Mixed Cacti Desert Scrub
3110,1808265.0,0.678648,7.917302,0.993887,0.033825,Southern California Dry-Mesic Chaparral
3111,15422.0,0.566117,16.049973,0.944486,0.087662,Western Great Plains Mesquite Woodland
3112,5119.0,0.642429,6.224311,0.993063,0.027763,California Central Valley Mixed Oak Savanna
3113,76303.0,0.712126,8.100275,0.987423,0.04667,California Coastal Live Oak Woodland and Savanna
3114,694291.0,0.687451,8.058462,0.990126,0.042902,California Lower Montane Foothill Pine Woodland and Savanna
3115,55803.0,0.656496,10.11986,0.995595,0.026957,Inter-Mountain Basins Juniper Savanna
3116,53816.0,0.596608,11.456971,0.984968,0.053148,Madrean Juniper Savanna
3117,374206.0,0.636522,8.217602,0.989586,0.044726,Southern Rocky Mountain Ponderosa Pine Savanna
3118,709652.0,0.751503,7.066463,0.995044,0.027944,Southern California Oak Woodland and Savanna
3119,54130.0,0.599672,15.591541,0.993639,0.034026,Southern Rocky Mountain Juniper Woodland and Savanna
3121,566813.0,0.583664,10.978747,0.98404,0.057904,Apacherian-Chihuahuan Semi-Desert Shrubland
3122,2665.0,0.578103,24.549737,0.987651,0.042675,Chihuahuan Gypsophilous Grassland and Steppe
3123,412519.0,0.6521757598214197,12.475695525833006,0.9217677333597747,0.06159313328094165,Columbia Plateau Steppe and Grassland
3124,313692.0,0.6522831826417501,11.862322870105007,0.9511218916438949,0.03396476233577329,Columbia Plateau Low Sagebrush Steppe
3125,533360.0,0.6381887643544564,14.01761287306062,0.9627250172180052,0.03558125350161793,Inter-Mountain Basins Big Sagebrush Steppe
3126,1213466.0,0.6773118354488514,10.434272411091907,0.9518411714353106,0.03823924351072522,Inter-Mountain Basins Montane Sagebrush Steppe
3127,96022.0,0.6304703904170769,13.593299449391859,0.9448700543017765,0.03239972781935009,Inter-Mountain Basins Semi-Desert Shrub-Steppe
3128,2812.0,0.652786,7.184285,0.985278,0.042527,Northern California Coastal Scrub
3129,751463.0,0.685063,7.893296,0.994347,0.032585,California Central Valley and Southern Coastal Grassland
3130,7718.0,0.661845,8.48207,0.991776,0.03411,California Mesic Serpentine Grassland
3131,192000.0,0.817102,11.776172,0.99515,0.02717,California Northern Coastal Grassland
3132,104611.0,0.603831,17.601837,0.995987,0.025442,Central Mixedgrass Prairie Grassland
3133,553.0,0.576926,15.629403,0.969304,0.05575,Chihuahuan Sandy Plains Semi-Desert Grassland
3134,150490.0,0.655752,8.886499,0.988621,0.0457,Columbia Basin Foothill and Canyon Dry Grassland
3135,106397.0,0.6667736613825779,13.412963032443448,0.9866180732998232,0.025394331870114493,Inter-Mountain Basins Semi-Desert Grassland
