EVT_Code,N,Weibull_Lambda_Scale,Weibull_Kappa_Shape,Weibull_R2,Weibull_RMSE,CLASSNAME
3967,127719,0.682815,8.699487,0.992388,0.038323,Western Cool Temperate Pasture and Hayland
3968,59180,0.68829,5.136817,0.991906,0.032102,Western Cool Temperate Wheat
3980,2870,0.742987,8.137224,0.9962,0.019685,Western Warm Temperate Orchard
3981,31,0.686562,12.067155,0.940503,0.072042,Western Warm Temperate Vineyard
3983,120,0.721653,6.189174,0.897469,0.094079,Western Warm Temperate Row Crop - Close Grown Crop
3984,2058,0.619357,10.584835,0.976351,0.054676,Western Warm Temperate Row Crop
3985,801,0.679779,7.457021,0.995421,0.020383,Western Warm Temperate Close Grown Crop
3986,8587,0.596504,8.931851,0.911674,0.103697,Western Warm Temperate Fallow/Idle Cropland
3987,2202,0.721641,9.877735,0.997923,0.015026,Western Warm Temperate Pasture and Hayland
3988,2072,0.53948,4.709144,0.875296,0.117769,Western Warm Temperate Wheat
