EVT_Code,N,Weibull_Lambda_Scale,Weibull_Kappa_Shape,Weibull_R2,Weibull_RMSE,CLASSNAME,source
3057,19341,0.690934,7.25091,0.985174,0.04419,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,staley2018
3058,3258,0.8329259859772729,7.041520553561713,0.9641092088318084,0.0320713152164323,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,nv_refit
3059,289780,0.631867,8.617233,0.982424,0.05927,Southern Rocky Mountain Pinyon-Juniper Woodland,staley2018
3060,24923,0.616876,9.332206,0.992537,0.034526,East Cascades Ponderosa Pine Forest and Woodland,staley2018
3061,906811,0.71006,6.566425,0.99265,0.035397,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,staley2018
3062,9496,0.7696191040125449,7.694892334736204,0.951851269904336,0.0449760715978127,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland,nv_refit
3063,4483,0.669763,8.055613,0.987232,0.039918,North Pacific Broadleaf Landslide Forest and Shrubland,staley2018
3064,44903,0.636309,9.294118,0.981141,0.05788,Colorado Plateau Mixed Low Sagebrush Shrubland,staley2018
3065,162151,0.633478,9.620666,0.981924,0.059117,Columbia Plateau Scabland Shrubland,staley2018
3066,2945,0.558978,14.025179,0.889202,0.110002,Inter-Mountain Basins Mat Saltbush Shrubland,staley2018
3068,181527,0.841242,9.105216,0.99862,0.013372,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,staley2018
3070,3861,0.647833,6.925736,0.972686,0.060507,Rocky Mountain Alpine Dwarf-Shrubland,staley2018
3071,1716,0.637973,9.624375,0.963567,0.061952,Sierra Nevada Alpine Dwarf-Shrubland,staley2018
3072,10637,0.608876,9.554256,0.970263,0.071264,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,staley2018
3074,83905,0.595276,12.689444,0.978466,0.059836,Chihuahuan Creosotebush Desert Scrub,staley2018
3075,60372,0.603175,13.493303,0.991476,0.039601,Chihuahuan Mixed Salt Desert Scrub,staley2018
3076,29619,0.568508,19.890487,0.96674,0.074808,Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,staley2018
3077,15284,0.601173,10.759144,0.945164,0.079358,Chihuahuan Succulent Desert Scrub,staley2018
3078,6392,0.593225,22.948819,0.986773,0.044193,Colorado Plateau Blackbrush-Mormon-tea Shrubland,staley2018
3079,111750,0.6270490262665772,10.94251533827746,0.9133588193242116,0.047338702027661,Great Basin Xeric Mixed Sagebrush Shrubland,nv_refit
3080,364913,0.6139250041245126,14.492679241529215,0.9703153492829184,0.0239434847106044,Inter-Mountain Basins Big Sagebrush Shrubland,nv_refit
3081,16163,0.5959917594945542,14.89103805808984,0.9653632631258392,0.028239340799841,Inter-Mountain Basins Mixed Salt Desert Scrub,nv_refit
3082,3152915,0.601524,11.185928,0.987829,0.050825,Mojave Mid-Elevation Mixed Desert Scrub,staley2018
3083,21603,0.726307,7.633421,0.990937,0.036635,North Pacific Avalanche Chute Shrubland,staley2018
3084,12597,0.67981,6.273912,0.985648,0.044925,North Pacific Montane Shrubland,staley2018
3085,58009,0.640443,5.517478,0.99702,0.020911,Northwestern Great Plains Shrubland,staley2018
3086,2554,0.6457079913809965,11.74571145894463,0.9550639721685876,0.0209170958176458,Rocky Mountain Lower Montane-Foothill Shrubland,nv_refit
3087,349611,0.588298,12.600827,0.986031,0.050289,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,staley2018
3088,12311,0.667174,11.21568,0.996113,0.023444,Sonora-Mojave Mixed Salt Desert Scrub,staley2018
3090,30,0.550409,17.774182,0.732251,0.154165,Sonoran Granite Outcrop Desert Scrub,staley2018
3091,63262,0.598849,16.470602,0.984683,0.05284,Sonoran Mid-Elevation Desert Scrub,staley2018
3092,942014,0.650441,7.643113,0.994722,0.031507,Southern California Coastal Scrub,staley2018
3093,6293,0.611408,9.942192,0.952984,0.081085,Southern Colorado Plateau Sand Shrubland,staley2018
3094,34208,0.571949,16.430422,0.963307,0.075415,Western Great Plains Sandhill Shrubland,staley2018
3095,485174,0.58827,12.43588,0.983652,0.05806,Apacherian-Chihuahuan Mesquite Upland Scrub,staley2018
3096,3774,0.699011,8.150509,0.963449,0.06241,California Maritime Chaparral,staley2018
3097,2027981,0.705764,7.955055,0.996657,0.024426,California Mesic Chaparral,staley2018
3098,173468,0.7316822810837714,10.229011842816474,0.961129985919574,0.0377890774290465,California Montane Woodland and Chaparral,nv_refit
3099,37126,0.673957,7.352289,0.991473,0.037351,California Xeric Serpentine Chaparral,staley2018
3100,230653,0.593441,13.122897,0.981575,0.059141,Chihuahuan Mixed Desert and Thornscrub,staley2018
3101,66521,0.61365,13.993376,0.992674,0.036448,Madrean Oriental Chaparral,staley2018
3103,10324,0.661156,8.506929,0.974646,0.055479,Great Basin Semi-Desert Chaparral,staley2018
3104,846163,0.640868,8.657786,0.992048,0.039261,Mogollon Chaparral,staley2018
3105,412500,0.691721,7.821115,0.991225,0.039871,Northern and Central California Dry-Mesic Chaparral,staley2018
3106,217981,0.686529,6.343075,0.993448,0.033587,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,staley2018
3107,95312,0.678304,7.090649,0.989242,0.043661,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,staley2018
3108,438321,0.688427,9.177896,0.99339,0.034239,Sonora-Mojave Semi-Desert Chaparral,staley2018
3109,741273,0.579543,12.059941,0.985166,0.054938,Sonoran Paloverde-Mixed Cacti Desert Scrub,staley2018
3110,1808265,0.678648,7.917302,0.993887,0.033825,Southern California Dry-Mesic Chaparral,staley2018
3111,15422,0.566117,16.049973,0.944486,0.087662,Western Great Plains Mesquite Woodland,staley2018
3112,5119,0.642429,6.224311,0.993063,0.027763,California Central Valley Mixed Oak Savanna,staley2018
3113,76303,0.712126,8.100275,0.987423,0.04667,California Coastal Live Oak Woodland and Savanna,staley2018
3114,694291,0.687451,8.058462,0.990126,0.042902,California Lower Montane Foothill Pine Woodland and Savanna,staley2018
3115,55803,0.656496,10.11986,0.995595,0.026957,Inter-Mountain Basins Juniper Savanna,staley2018
3116,53816,0.596608,11.456971,0.984968,0.053148,Madrean Juniper Savanna,staley2018
3117,374206,0.636522,8.217602,0.989586,0.044726,Southern Rocky Mountain Ponderosa Pine Savanna,staley2018
3118,709652,0.751503,7.066463,0.995044,0.027944,Southern California Oak Woodland and Savanna,staley2018
3119,54130,0.599672,15.591541,0.993639,0.034026,Southern Rocky Mountain Juniper Woodland and Savanna,staley2018
3121,566813,0.583664,10.978747,0.98404,0.057904,Apacherian-Chihuahuan Semi-Desert Shrubland,staley2018
3122,2665,0.578103,24.549737,0.987651,0.042675,Chihuahuan Gypsophilous Grassland and Steppe,staley2018
3123,3769401,0.632791,8.410206,0.986341,0.053401,Columbia Plateau Steppe and Grassland,staley2018
3124,892750,0.622892,10.638791,0.990546,0.044421,Columbia Plateau Low Sagebrush Steppe,staley2018
3125,8298,0.6309629063193946,15.924675410914622,0.979732423822494,0.0284925565809198,Inter-Mountain Basins Big Sagebrush Steppe,nv_refit
3126,361923,0.643168013339495,12.484564250109656,0.977389127102385,0.028303690224609,Inter-Mountain Basins Montane Sagebrush Steppe,nv_refit
3127,4049,0.625878119329578,13.13085521160221,0.9804678156891962,0.0139835405778134,Inter-Mountain Basins Semi-Desert Shrub-Steppe,nv_refit
3128,2812,0.652786,7.184285,0.985278,0.042527,Northern California Coastal Scrub,staley2018
3129,751463,0.685063,7.893296,0.994347,0.032585,California Central Valley and Southern Coastal Grassland,staley2018
3130,7718,0.661845,8.48207,0.991776,0.03411,California Mesic Serpentine Grassland,staley2018
3131,192000,0.817102,11.776172,0.99515,0.02717,California Northern Coastal Grassland,staley2018
3132,104611,0.603831,17.601837,0.995987,0.025442,Central Mixedgrass Prairie Grassland,staley2018
3133,553,0.576926,15.629403,0.969304,0.05575,Chihuahuan Sandy Plains Semi-Desert Grassland,staley2018
3134,150490,0.655752,8.886499,0.988621,0.0457,Columbia Basin Foothill and Canyon Dry Grassland,staley2018
3135,8607,0.6532334644376151,11.125828669234147,0.9961075225032068,0.0072073160044332,Inter-Mountain Basins Semi-Desert Grassland,nv_refit
3137,2043,0.7340872724840364,7.212243153209281,0.9651588373057588,0.0259274708358797,Mediterranean California Subalpine Meadow,nv_refit
3138,1183095,0.824653,7.567721,0.996468,0.020643,North Pacific Montane Grassland,staley2018
3139,3115866,0.728486,6.162368,0.991654,0.035901,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,staley2018
3140,842504,0.82779,7.284992,0.998807,0.011571,Northern Rocky Mountain Subalpine-Upper Montane Grassland,staley2018
3141,3747047,0.664584,6.960683,0.990135,0.04308,Northwestern Great Plains Mixedgrass Prairie,staley2018
3142,411942,0.646487,9.428351,0.988591,0.047665,Columbia Basin Palouse Prairie,staley2018
3143,137,0.588245,6.638936,0.963033,0.057473,Rocky Mountain Alpine Fell-Field,staley2018
3144,8635,0.642137,6.340822,0.973773,0.063448,Rocky Mountain Alpine Turf,staley2018
3145,1509334,0.734127,5.982246,0.988696,0.041404,Rocky Mountain Subalpine-Montane Mesic Meadow,staley2018
3146,2981,0.6544231671969309,14.06212392582394,0.9709194438375842,0.047865872047545,Southern Rocky Mountain Montane-Subalpine Grassland,nv_refit
3147,50354,0.617524,9.916105,0.973647,0.066311,Western Great Plains Foothill and Piedmont Grassland,staley2018
3148,615017,0.636359,9.430412,0.992204,0.039181,Western Great Plains Sand Prairie Grassland,staley2018
3149,1813729,0.589646,10.752298,0.977393,0.070548,Western Great Plains Shortgrass Prairie,staley2018
3151,2261,0.66973,9.111936,0.961438,0.066597,California Central Valley Riparian Forest and Woodland,staley2018
3152,276460,0.70898,6.509724,0.983902,0.051572,California Montane Riparian Systems,staley2018
3153,8427,0.5734798411103652,13.121911610936555,0.9531884643432336,0.0297765109333472,Inter-Mountain Basins Greasewood Flat,nv_refit
3154,375652,0.66248,8.380697,0.988518,0.04797,Inter-Mountain Basins Montane Riparian Forest and Woodland,staley2018
3155,466189,0.631836,7.849353,0.975744,0.068138,North American Warm Desert Riparian Forest and Woodland,staley2018
3156,6076,0.682704,6.613065,0.978298,0.05535,North Pacific Lowland Riparian Forest and Shrubland,staley2018
3157,20906,0.713232,6.113748,0.959284,0.071748,North Pacific Swamp Systems,staley2018
3158,32923,0.724286,5.854808,0.979846,0.05409,North Pacific Montane Riparian Woodland and Shrubland,staley2018
3159,525598,0.676857,6.137937,0.983317,0.054851,Rocky Mountain Montane Riparian Forest and Woodland,staley2018
3160,111071,0.667077,6.159486,0.987474,0.046296,Rocky Mountain Subalpine/Upper Montane Riparian Forest and Woodland,staley2018
3161,70254,0.735789,5.897436,0.986618,0.044822,Northern Rocky Mountain Conifer Swamp,staley2018
3162,190095,0.678106,7.055993,0.994047,0.032881,Western Great Plains Floodplain Forest and Woodland,staley2018
3163,218,0.629798,10.246064,0.964269,0.057769,Pacific Coastal Marsh Systems,staley2018
3164,6147,0.634853,5.686743,0.989987,0.036186,Rocky Mountain Wetland-Herbaceous,staley2018
3165,20411,0.681354,7.854475,0.989143,0.041413,Northern Rocky Mountain Foothill Conifer Wooded Steppe,staley2018
3166,434286,0.745417,5.894642,0.98425,0.048985,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,staley2018
3167,54318,0.764379,6.047857,0.986696,0.042681,Rocky Mountain Poor-Site Lodgepole Pine Forest,staley2018
3168,330,0.696558,7.543604,0.945787,0.070042,Northern Rocky Mountain Avalanche Chute Shrubland,staley2018
3169,201974,0.679781,7.236514,0.990576,0.041902,Northern Rocky Mountain Subalpine Deciduous Shrubland,staley2018
3170,180,0.65026,10.618886,0.970976,0.053054,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,staley2018
3171,97562,0.800742,6.516868,0.991432,0.032449,North Pacific Alpine and Subalpine Dry Grassland,staley2018
3172,22820,0.740856,6.941702,0.989355,0.038774,Sierran-Intermontane Desert Western White Pine-White Fir Woodland,staley2018
3173,9167,0.680733,7.345918,0.982115,0.049932,North Pacific Wooded Volcanic Flowage,staley2018
3174,233259,0.779136,5.809551,0.97944,0.051865,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,staley2018
3177,28,0.634909,12.009026,0.964664,0.058164,California Coastal Closed-Cone Conifer Forest and Woodland,staley2018
3178,3600,0.779,6.337798,0.979922,0.044969,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,staley2018
3179,1097904,0.697527,7.912414,0.992839,0.036377,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,staley2018
3180,31939,0.67067,7.222474,0.968198,0.068615,Introduced Riparian Forest and Woodland,staley2018
3181,161409,0.6605602175069683,13.14217329165769,0.9800561862322772,0.0286200732423609,Introduced Upland Vegetation-Annual Grassland,nv_refit
3182,21949,0.6662977728989231,10.446797981546348,0.9864474808303312,0.014177817273472,Introduced Upland Vegetation-Perennial Grassland and Forbland,nv_refit
3183,13384,0.6569411782534215,12.749904220616624,0.9821918175615932,0.0252141343145948,Introduced Upland Vegetation-Annual and Biennial Forbland,nv_refit
3184,1182595,0.672324,7.436881,0.996537,0.02522,California Annual Grassland,staley2018
3186,1022,0.672786,9.07408,0.928236,0.087041,Introduced Upland Vegetation-Shrub,staley2018
3195,7925,0.6231489363123077,5.648344632668802,0.8576944013939333,0.0624648745496232,Recently Burned-Herb and Grass Cover,nv_refit
3198,9539,0.659714,7.620065,0.98284,0.051941,NLCD-Herbaceous Wetlands,staley2018
3200,6908,0.665303,6.915078,0.971976,0.061151,Coastal Douglas-fir Woodland,staley2018
3201,12533,0.676913,7.083305,0.973604,0.061566,Quercus garryana Woodland Alliance,staley2018
3202,5888,0.61695,6.088512,0.989222,0.034918,Juniperus occidentalis Wooded Herbaceous Alliance,staley2018
3203,21055,0.636701,7.641017,0.965052,0.071598,Juniperus occidentalis Woodland Alliance,staley2018
3204,13605,0.570802,25.348731,0.985366,0.045572,Western Great Plains Mesquite Shrubland,staley2018
3206,959,0.708617,6.608195,0.93992,0.074055,Pseudotsuga menziesii Giant Forest Alliance,staley2018
3208,89797,0.722634,6.773067,0.987478,0.04383,Abies concolor Forest Alliance,staley2018
3210,664345,0.616672,13.730605,0.992533,0.037781,Coleogyne ramosissima Shrubland Alliance,staley2018
3211,3311,0.614655,13.210264,0.973546,0.060118,Grayia spinosa Shrubland Alliance,staley2018
3212,77735,0.573217,16.457179,0.964058,0.06948,Western Great Plains Sandhill Grassland,staley2018
3213,24368,0.567633,16.116451,0.925803,0.101749,Quercus havardii Shrubland Alliance,staley2018
3214,10087,0.65778,9.574225,0.983919,0.046388,Arctostaphylos patula Shrubland Alliance,staley2018
3215,567086,0.646093,8.807856,0.99272,0.037604,Quercus turbinella Shrubland Alliance,staley2018
3216,32592,0.695516,8.344719,0.986553,0.047817,Cercocarpus montanus Shrubland Alliance,staley2018
3217,241464,0.695618,6.471208,0.986702,0.047855,Quercus gambelii Shrubland Alliance,staley2018
