fire,state,date,filename,url
Bivens-Creek,MT,2026-01-15,Bivens-Creek-MT-sbs_20260115_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/baer-data/2026/Bivens-Creek-MT-sbs_20260115_235959.tif
Cloudrest,MT,2026-01-15,Cloudrest-MT-sbs_20260115_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/baer-data/2026/Cloudrest-MT-sbs_20260115_235959.tif
Cottonwood-Peak,NV,2026-02-17,Cottonwood-Peak-NV-sbs_20260217_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/baer-data/2026/Cottonwood-Peak-NV-sbs_20260217_235959.tif
Derby,CO,2026-01-15,Derby-CO-sbs_20260115_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/baer-data/2026/Derby-CO-sbs_20260115_235959.tif
Forsyth,UT,2026-01-29,Forsyth-UT-sbs_20260129_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/baer-data/2026/Forsyth-UT-sbs_20260129_235959.tif
Katy-Creek,WA,2026-02-17,Katy-Creek-WA-sbs_20260217_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/baer-data/2026/Katy-Creek-WA-sbs_20260217_235959.tif
Marks-Creek,OR,2026-02-17,Marks-Creek-OR-sbs_20260217_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/baer-data/2026/Marks-Creek-OR-sbs_20260217_235959.tif
Rock,ID,2026-02-17,Rock-ID-sbs_20260217_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/baer-data/2026/Rock-ID-sbs_20260217_235959.tif
